Category,BodyType,Animation,AttemptedPath,Error
"torso","child","hurt","torso/clothes/shirt/child/hurt.png","HTTP 404: Not Found"
"torso","child","idle","torso/clothes/shirt/child/idle.png","HTTP 404: Not Found"
"torso","child","shoot","torso/clothes/shirt/child/shoot.png","HTTP 404: Not Found"
"torso","child","slash","torso/clothes/shirt/child/slash.png","HTTP 404: Not Found"
"torso","teen","walk","torso/clothes/sleeveless/sleeveless2_polo/teen/walk.png","HTTP 404: Not Found"
"torso","teen","hurt","torso/clothes/sleeveless/sleeveless2_polo/teen/hurt.png","HTTP 404: Not Found"
"torso","teen","idle","torso/clothes/sleeveless/sleeveless2_polo/teen/idle.png","HTTP 404: Not Found"
"torso","teen","shoot","torso/clothes/sleeveless/sleeveless2_polo/teen/shoot.png","HTTP 404: Not Found"
"torso","teen","slash","torso/clothes/sleeveless/sleeveless2_polo/teen/slash.png","HTTP 404: Not Found"
"legs","male","walk","legs/pants/pregnant/walk.png","HTTP 404: Not Found"
"legs","male","hurt","legs/pants/pregnant/hurt.png","HTTP 404: Not Found"
"legs","male","idle","legs/pants/pregnant/idle.png","HTTP 404: Not Found"
"legs","male","shoot","legs/pants/pregnant/shoot.png","HTTP 404: Not Found"
"legs","male","slash","legs/pants/pregnant/slash.png","HTTP 404: Not Found"
"legs","female","walk","legs/pants/thin/walk.png","HTTP 404: Not Found"
"legs","female","hurt","legs/pants/thin/hurt.png","HTTP 404: Not Found"
"legs","female","idle","legs/pants/thin/idle.png","HTTP 404: Not Found"
"legs","female","shoot","legs/pants/thin/shoot.png","HTTP 404: Not Found"
"legs","female","slash","legs/pants/thin/slash.png","HTTP 404: Not Found"
"legs","child","walk","legs/pants/child/walk.png","HTTP 404: Not Found"
"legs","child","hurt","legs/pants/child/hurt.png","HTTP 404: Not Found"
"legs","child","idle","legs/pants/child/idle.png","HTTP 404: Not Found"
"legs","child","shoot","legs/pants/child/shoot.png","HTTP 404: Not Found"
"legs","child","slash","legs/pants/child/slash.png","HTTP 404: Not Found"
"legs","teen","walk","legs/pants/thin/walk.png","HTTP 404: Not Found"
"legs","teen","hurt","legs/pants/thin/hurt.png","HTTP 404: Not Found"
"legs","teen","idle","legs/pants/thin/idle.png","HTTP 404: Not Found"
"legs","teen","shoot","legs/pants/thin/shoot.png","HTTP 404: Not Found"
"legs","teen","slash","legs/pants/thin/slash.png","HTTP 404: Not Found"
"feet","male","walk","feet/boots/rimmed/thin/walk.png","HTTP 404: Not Found"
"feet","male","hurt","feet/boots/rimmed/thin/hurt.png","HTTP 404: Not Found"
"feet","male","idle","feet/boots/rimmed/thin/idle.png","HTTP 404: Not Found"
"feet","male","shoot","feet/boots/rimmed/thin/shoot.png","HTTP 404: Not Found"
"feet","male","slash","feet/boots/rimmed/thin/slash.png","HTTP 404: Not Found"
"feet","female","walk","feet/boots/rimmed/thin/walk.png","HTTP 404: Not Found"
"feet","female","hurt","feet/boots/rimmed/thin/hurt.png","HTTP 404: Not Found"
"feet","female","idle","feet/boots/rimmed/thin/idle.png","HTTP 404: Not Found"
"feet","female","shoot","feet/boots/rimmed/thin/shoot.png","HTTP 404: Not Found"
"feet","female","slash","feet/boots/rimmed/thin/slash.png","HTTP 404: Not Found"
"feet","child","walk","No LPC data found for feet/child","No sprite data available"
"feet","child","hurt","No LPC data found for feet/child","No sprite data available"
"feet","child","idle","No LPC data found for feet/child","No sprite data available"
"feet","child","shoot","No LPC data found for feet/child","No sprite data available"
"feet","child","slash","No LPC data found for feet/child","No sprite data available"
"feet","teen","walk","feet/boots/rimmed/thin/walk.png","HTTP 404: Not Found"
"feet","teen","hurt","feet/boots/rimmed/thin/hurt.png","HTTP 404: Not Found"
"feet","teen","idle","feet/boots/rimmed/thin/idle.png","HTTP 404: Not Found"
"feet","teen","shoot","feet/boots/rimmed/thin/shoot.png","HTTP 404: Not Found"
"feet","teen","slash","feet/boots/rimmed/thin/slash.png","HTTP 404: Not Found"
"head","male","walk","No LPC data found for head/male","No sprite data available"
"head","male","hurt","No LPC data found for head/male","No sprite data available"
"head","male","idle","No LPC data found for head/male","No sprite data available"
"head","male","shoot","No LPC data found for head/male","No sprite data available"
"head","male","slash","No LPC data found for head/male","No sprite data available"
"head","female","walk","No LPC data found for head/female","No sprite data available"
"head","female","hurt","No LPC data found for head/female","No sprite data available"
"head","female","idle","No LPC data found for head/female","No sprite data available"
"head","female","shoot","No LPC data found for head/female","No sprite data available"
"head","female","slash","No LPC data found for head/female","No sprite data available"
"head","child","walk","No LPC data found for head/child","No sprite data available"
"head","child","hurt","No LPC data found for head/child","No sprite data available"
"head","child","idle","No LPC data found for head/child","No sprite data available"
"head","child","shoot","No LPC data found for head/child","No sprite data available"
"head","child","slash","No LPC data found for head/child","No sprite data available"
"head","teen","walk","No LPC data found for head/teen","No sprite data available"
"head","teen","hurt","No LPC data found for head/teen","No sprite data available"
"head","teen","idle","No LPC data found for head/teen","No sprite data available"
"head","teen","shoot","No LPC data found for head/teen","No sprite data available"
"head","teen","slash","No LPC data found for head/teen","No sprite data available"
"arms","male","walk","arms/hands/ring/stud/female/walk.png","HTTP 404: Not Found"
"arms","male","hurt","arms/hands/ring/stud/female/hurt.png","HTTP 404: Not Found"
"arms","male","idle","arms/hands/ring/stud/female/idle.png","HTTP 404: Not Found"
"arms","male","shoot","arms/hands/ring/stud/female/shoot.png","HTTP 404: Not Found"
"arms","male","slash","arms/hands/ring/stud/female/slash.png","HTTP 404: Not Found"
"arms","female","walk","arms/hands/ring/stud/female/walk.png","HTTP 404: Not Found"
"arms","female","hurt","arms/hands/ring/stud/female/hurt.png","HTTP 404: Not Found"
"arms","female","idle","arms/hands/ring/stud/female/idle.png","HTTP 404: Not Found"
"arms","female","shoot","arms/hands/ring/stud/female/shoot.png","HTTP 404: Not Found"
"arms","female","slash","arms/hands/ring/stud/female/slash.png","HTTP 404: Not Found"
"arms","child","walk","No LPC data found for arms/child","No sprite data available"
"arms","child","hurt","No LPC data found for arms/child","No sprite data available"
"arms","child","idle","No LPC data found for arms/child","No sprite data available"
"arms","child","shoot","No LPC data found for arms/child","No sprite data available"
"arms","child","slash","No LPC data found for arms/child","No sprite data available"
"arms","teen","walk","arms/hands/ring/stud/female/walk.png","HTTP 404: Not Found"
"arms","teen","hurt","arms/hands/ring/stud/female/hurt.png","HTTP 404: Not Found"
"arms","teen","idle","arms/hands/ring/stud/female/idle.png","HTTP 404: Not Found"
"arms","teen","shoot","arms/hands/ring/stud/female/shoot.png","HTTP 404: Not Found"
"arms","teen","slash","arms/hands/ring/stud/female/slash.png","HTTP 404: Not Found"
